,,,,,,Scoring,,,,,Goals,,,,Assists,,,Shots,,,Ice Time,,Faceoffs,,,,,,,,-additional
139,Andrei Svechnikov,24,CAR,RW,72,20,28,48,-8,59,10,10,0,2,20,8,0,180,11.1,378,1232:11,17:07,1,3,25.0,22,148,17,99,,svechan01
140,Jakob Chychrun,26,WSH,D,74,20,27,47,17,52,15,5,0,6,17,10,0,179,11.2,458,1558:45,21:04,0,0,,87,59,35,80,ASnhl-19Norris-17,chychja01
141,Matthew Coronato,22,CGY,RW,77,24,23,47,6,25,19,5,0,4,11,12,0,180,13.3,375,1353:38,17:35,68,91,42.8,37,36,23,48,,coronma01
142,Elias Lindholm,30,BOS,C,82,17,30,47,-4,14,14,2,1,3,16,12,2,151,11.3,301,1482:23,18:05,759,615,55.2,79,114,22,39,Selke-31,lindhel01
143,Mason Marchment,29,DAL,F,62,22,25,47,15,53,17,5,0,4,20,5,0,134,16.4,257,951:04,15:20,12,13,48.0,21,79,22,58,,marchma01
144,Dmitri Voronkov,24,CBJ,LW,73,23,24,47,17,55,15,8,0,1,21,3,0,154,14.9,260,1225:27,16:47,37,52,41.6,47,71,11,58,,vorondi01
145,MacKenzie Weegar,31,CGY,D,81,8,39,47,18,33,4,4,0,0,20,17,2,184,4.3,474,1957:19,24:10,0,1,0.0,192,223,52,159,,weegama01
146,Pavel Zacha,27,BOS,C,82,14,33,47,-8,21,10,2,2,5,27,5,1,132,10.6,257,1563:07,19:04,393,346,53.2,26,63,24,62,,zachapa01
147,Dylan Cozens,23,2TM,C,82,16,31,47,-17,68,11,5,0,2,24,7,0,188,8.5,332,1398:59,17:04,587,573,50.6,45,205,15,68,,cozendy01
147,Dylan Cozens,23,BUF,C,61,11,20,31,-13,62,9,2,0,1,18,2,0,139,7.9,253,1050:11,17:13,453,443,50.6,37,148,13,56,,cozendy01
147,Dylan Cozens,23,OTT,C,21,5,11,16,-4,6,2,3,0,1,6,5,0,49,10.2,79,348:48,16:37,134,130,50.8,8,57,2,12,,cozendy01
148,Tyler Bertuzzi,29,CHI,LW,82,23,23,46,-39,51,13,10,0,1,13,10,0,131,17.6,246,1312:14,16:00,22,25,46.8,28,60,20,53,,bertuty01
149,Warren Foegele,28,LAK,LW,82,24,22,46,36,24,23,1,0,7,21,1,0,199,12.1,370,1325:51,16:10,24,35,40.7,40,74,33,67,Selke-26,foegewa01
150,Barrett Hayton,24,UTA,C,82,20,26,46,-6,45,13,7,0,7,18,8,0,155,12.9,306,1320:19,16:06,552,468,54.1,44,31,16,46,,haytoba01
151,Jake Neighbours,22,STL,LW,82,22,24,46,0,56,16,6,0,3,18,6,0,122,18.0,196,1303:22,15:54,5,13,27.8,56,173,14,51,,neighja01
152,Moritz Seider,23,DET,D,82,8,38,46,-5,40,4,4,0,0,18,20,0,162,4.9,368,2055:55,25:04,0,0,,181,212,30,85,,seidemo01
153,Pius Suter,28,VAN,F,81,25,21,46,2,18,22,2,1,3,17,3,1,138,18.1,263,1404:52,17:21,373,501,42.7,43,59,19,52,Selke-37,suterpi01
154,Oliver Bjorkstrand,29,2TM,RW,79,21,25,46,2,18,16,5,0,2,18,7,0,154,13.6,303,1196:43,15:09,3,7,30.0,26,74,26,65,,bjorkol01
154,Oliver Bjorkstrand,29,SEA,RW,61,16,21,37,-1,14,12,4,0,1,17,4,0,124,12.9,244,943:52,15:28,2,5,28.6,15,61,21,56,,bjorkol01
154,Oliver Bjorkstrand,29,TBL,RW,18,5,4,9,3,4,4,1,0,1,1,3,0,30,16.7,59,252:51,14:03,1,2,33.3,11,13,5,9,,bjorkol01
155,Leo Carlsson,20,ANA,C,76,20,25,45,6,14,15,4,1,5,21,3,1,114,17.5,227,1234:16,16:14,302,428,41.4,36,24,18,51,Byng-39,carlsle01
156,Thomas Chabot,28,OTT,D,80,9,36,45,17,24,8,1,0,1,29,7,0,179,5.0,447,1841:56,23:01,0,0,,145,58,31,99,,chaboth01
157,Sean Couturier,32,PHI,C,79,15,30,45,1,41,14,1,0,2,27,3,0,155,9.7,258,1366:12,17:18,670,525,56.1,45,54,28,78,,coutuse01
158,William Cuylle,22,NYR,LW,82,20,25,45,12,42,16,2,2,3,23,1,1,152,13.2,275,1236:21,15:05,11,22,33.3,50,301,9,48,,cuyllwi01
159,Shayne Gostisbehere,31,CAR,D,70,7,38,45,1,52,3,4,0,0,15,23,0,122,5.7,330,1296:28,18:31,0,0,,66,41,36,76,,gostish01
160,Simon Holmström,23,NYI,RW,75,20,25,45,5,8,17,2,1,3,18,4,3,96,20.8,208,1264:52,16:52,1,4,20.0,55,27,13,48,Byng-49,holmssi01
161,Alexis Lafrenière,23,NYR,LW,82,17,28,45,-13,38,15,2,0,4,26,2,0,153,11.1,302,1394:27,17:00,13,26,33.3,27,119,25,46,,lafreal01
162,Artturi Lehkonen,29,COL,LW,69,27,18,45,36,34,25,1,1,5,14,4,0,148,18.2,292,1406:20,20:23,7,9,43.8,39,33,12,55,,lehkoar01
163,Anton Lundell,23,FLA,C,79,17,28,45,17,36,13,2,2,1,24,4,0,158,10.8,317,1320:17,16:43,542,481,53.0,54,110,27,60,Selke-37,lundean01
164,Elias Pettersson,26,VAN,C,64,15,30,45,-10,14,8,7,0,1,21,9,0,109,13.8,251,1194:16,18:40,458,506,47.5,77,74,22,45,,petteel01
165,Will Smith,19,SJS,C,74,18,27,45,-15,18,13,5,0,1,20,7,0,127,14.2,277,1173:06,15:51,65,113,36.5,16,13,13,73,AR-4Calder-6,smithwi01
166,Frank Vatrano,30,ANA,LW,81,21,24,45,-9,80,17,3,1,1,22,2,0,234,9.0,415,1421:10,17:33,16,18,47.1,69,169,13,52,,vatrafr01
167,Cutter Gauthier,21,ANA,LW,82,20,24,44,8,20,18,2,0,3,20,4,0,190,10.5,410,1160:45,14:09,21,35,37.5,51,68,22,81,AR-1AR-3Calder-5,gauthcu01
168,Luke Hughes,21,NJD,D,71,7,37,44,-9,16,7,0,0,1,21,16,0,121,5.8,328,1502:13,21:09,0,1,0.0,60,19,33,86,,hughelu01
169,Zach Hyman,32,EDM,LW,73,27,17,44,9,32,21,6,0,7,11,6,0,210,12.9,373,1378:21,18:53,2,3,40.0,24,59,14,43,,hymanza01
170,Devon Toews,30,COL,D,76,10,34,44,30,26,9,1,0,4,32,2,0,138,7.2,342,1868:48,24:35,0,0,,103,40,35,81,ASnhl-12Byng-28Norris-15,toewsde01
171,Shane Wright,21,SEA,C,79,19,25,44,4,18,12,7,0,2,19,6,0,91,20.9,204,1111:23,14:04,369,462,44.4,62,54,14,73,,wrighsh01
172,Kaapo Kakko,23,2TM,RW,79,14,30,44,-2,38,10,4,0,2,26,4,0,117,12.0,236,1233:41,15:37,50,50,50.0,28,68,18,59,,kakkoka01
172,Kaapo Kakko,23,NYR,RW,30,4,10,14,9,14,3,1,0,1,9,1,0,45,8.9,84,398:20,13:17,32,32,50.0,8,23,5,16,,kakkoka01
172,Kaapo Kakko,23,SEA,RW,49,10,20,30,-11,24,7,3,0,1,17,3,0,72,13.9,152,835:21,17:03,18,18,50.0,20,45,13,43,,kakkoka01
173,Matty Beniers,22,SEA,C,82,20,23,43,0,14,15,5,0,2,19,4,0,147,13.6,322,1532:24,18:41,569,624,47.7,77,42,28,72,Byng-49,beniema01
174,Phillip Danault,31,LAK,C,80,8,35,43,20,26,7,1,0,3,34,0,1,122,6.6,239,1413:52,17:40,635,581,52.2,73,83,25,86,Selke-17,danauph01
175,Tyson Foerster,23,PHI,RW,81,25,18,43,-9,49,19,6,0,2,16,2,0,142,17.6,287,1365:52,16:52,0,2,0.0,54,75,16,41,,foersty01
176,Jackson LaCombe,24,ANA,D,75,14,29,43,0,28,12,2,0,2,21,7,1,134,10.4,268,1672:33,22:18,0,1,0.0,129,69,35,78,,lacomja01
177,Owen Tippett,25,PHI,RW,77,20,23,43,-12,16,20,0,0,2,16,7,0,188,10.6,424,1231:22,16:00,7,11,38.9,63,115,32,58,,tippeow01
178,Alex Laferriere,23,LAK,RW,77,19,23,42,22,20,17,2,0,4,21,2,0,193,9.8,384,1272:57,16:32,36,61,37.1,43,124,14,48,,laferal01
179,Jean-Gabriel Pageau,32,NYI,C,79,14,28,42,4,23,11,2,1,1,22,3,3,120,11.7,232,1342:47,17:00,589,399,59.6,57,140,25,47,,pageaje01
180,Taylor Hall,33,2TM,LW,77,18,24,42,-14,36,13,5,0,3,20,4,0,144,12.5,307,1168:23,15:10,43,50,46.2,42,43,34,76,,hallta02
180,Taylor Hall,33,CHI,LW,46,9,15,24,-15,16,8,1,0,1,13,2,0,82,11.0,169,689:26,14:59,32,40,44.4,29,23,25,40,,hallta02
180,Taylor Hall,33,CAR,LW,31,9,9,18,1,20,5,4,0,2,7,2,0,62,14.5,138,478:57,15:27,11,10,52.4,13,20,9,36,,hallta02
181,Bobby Brink,23,PHI,RW,79,12,29,41,-11,22,10,2,0,2,27,2,0,105,11.4,213,1171:38,14:50,17,40,29.8,30,98,21,58,,brinkbo01
182,Brandon Montour,30,SEA,D,81,18,23,41,-22,70,13,5,0,4,17,6,0,231,7.8,531,1861:04,22:59,0,0,,100,84,25,97,,montobr01
183,Stefan Noesen,31,NJD,RW,78,22,19,41,-8,54,11,11,0,5,15,4,0,165,13.3,284,1242:47,15:56,41,44,48.2,26,152,14,73,,noesest01
184,Nick Paul,29,TBL,LW,76,22,19,41,13,30,20,2,0,3,15,3,1,141,15.6,255,1249:39,16:27,393,393,50.0,31,66,19,48,,paulni01
185,Morgan Rielly,30,TOR,D,82,7,34,41,-8,21,6,1,0,2,20,13,1,126,5.6,303,1753:52,21:23,0,0,,131,21,20,99,,riellmo01
186,Ryan Strome,31,ANA,C,82,10,31,41,-3,70,10,0,0,3,25,6,0,137,7.3,263,1367:59,16:41,511,715,41.7,36,52,19,66,,stromry01
187,Fabian Zetterlund,25,2TM,W,84,19,22,41,7,14,14,5,0,0,20,2,0,181,10.5,356,1372:43,16:21,31,21,59.6,81,154,22,50,,zettefa01
187,Fabian Zetterlund,25,SJS,W,64,17,19,36,8,10,13,4,0,0,17,2,0,141,12.1,281,1086:44,16:59,30,20,60.0,63,115,20,44,,zettefa01
187,Fabian Zetterlund,25,OTT,W,20,2,3,5,-1,4,1,1,0,0,3,0,0,40,5.0,75,285:59,14:18,1,1,50.0,18,39,2,6,,zettefa01
188,Evgenii Dadonov,35,DAL,RW,80,20,20,40,1,10,15,5,0,2,18,2,0,123,16.3,234,1082:40,13:32,0,0,,39,44,9,66,Byng-39,dadonev01
189,Matt Grzelcyk,31,PIT,D,82,1,39,40,-6,16,1,0,0,0,24,15,0,94,1.1,258,1690:11,20:37,0,0,,101,43,32,85,,grzelma01
190,Dougie Hamilton,31,NJD,D,64,9,31,40,8,30,4,5,0,3,21,10,0,186,4.8,424,1270:46,19:51,0,0,,85,74,20,94,,hamildo01
191,Brett Howden,26,VEG,C,80,23,17,40,17,46,22,0,1,4,17,0,0,125,18.4,217,1189:02,14:52,272,244,52.7,56,121,22,42,,howdebr01
192,Trevor Moore,29,LAK,LW,71,18,22,40,17,14,16,1,1,2,20,2,0,153,11.8,322,1198:16,16:53,1,11,8.3,29,71,23,46,,mooretr01
193,Owen Power,22,BUF,D,79,7,33,40,-13,16,6,1,0,0,28,5,0,139,5.0,299,1683:38,21:19,0,0,,109,26,26,73,,powerow01
194,Kiefer Sherwood,29,VAN,RW,78,19,21,40,-1,35,18,0,1,6,18,2,1,141,13.5,280,1161:21,14:53,24,32,42.9,30,462,26,49,,sherwki01
195,Cam Fowler,33,2TM,D,68,9,31,40,12,14,7,2,0,1,25,6,0,88,10.2,203,1464:56,21:33,0,0,,87,8,16,63,,fowleca01
195,Cam Fowler,33,ANA,D,17,0,4,4,-7,6,0,0,0,0,4,0,0,17,0.0,41,358:03,21:04,0,0,,29,2,4,15,,fowleca01
195,Cam Fowler,33,STL,D,51,9,27,36,19,8,7,2,0,1,21,6,0,71,12.7,162,1106:53,21:42,0,0,,58,6,12,48,,fowleca01
196,Casey Mittelstadt,26,2TM,C,81,15,25,40,-29,24,12,3,0,3,15,10,0,105,14.3,185,1382:10,17:04,443,560,44.2,33,30,19,80,,mitteca01
196,Casey Mittelstadt,26,COL,C,63,11,23,34,-12,20,9,2,0,3,14,9,0,82,13.4,149,1071:00,17:00,345,469,42.4,23,24,16,65,,mitteca01
196,Casey Mittelstadt,26,BOS,C,18,4,2,6,-17,4,3,1,0,0,1,1,0,23,17.4,36,311:10,17:17,98,91,51.9,10,6,3,15,,mitteca01
197,Jake Walman,28,2TM,D,65,7,33,40,4,42,7,0,0,1,24,8,1,164,4.3,382,1480:08,22:46,0,0,,145,57,27,80,,walmaja01
197,Jake Walman,28,SJS,D,50,6,26,32,-1,36,6,0,0,1,19,7,0,125,4.8,302,1158:45,23:11,0,0,,111,48,23,63,,walmaja01
197,Jake Walman,28,EDM,D,15,1,7,8,5,6,1,0,0,0,5,1,1,39,2.6,80,321:23,21:26,0,0,,34,9,4,17,,walmaja01
198,Reilly Smith,33,2TM,RW,79,13,27,40,10,24,9,2,2,4,22,4,1,129,10.1,213,1219:49,15:26,4,7,36.4,41,48,26,70,,smithre01
198,Reilly Smith,33,NYR,RW,58,10,19,29,-1,22,7,1,2,2,16,3,0,89,11.2,152,904:37,15:36,1,2,33.3,34,42,20,50,,smithre01
198,Reilly Smith,33,VEG,RW,21,3,8,11,11,2,2,1,0,2,6,1,1,40,7.5,61,315:12,15:01,3,5,37.5,7,6,6,20,,smithre01
199,Blake Coleman,33,CGY,C,82,15,24,39,-2,36,10,4,1,4,21,1,2,194,7.7,382,1450:09,17:41,38,41,48.1,66,176,31,78,,colembl01
200,Noah Dobson,25,NYI,D,71,10,29,39,-16,28,9,1,0,1,17,11,1,196,5.1,437,1652:20,23:16,0,0,,126,57,36,108,,dobsono01
201,Vince Dunn,28,SEA,D,62,11,28,39,-3,33,9,2,0,3,18,10,0,137,8.0,321,1368:54,22:05,0,0,,79,29,25,79,,dunnvi02
202,Noah Hanifin,28,VEG,D,80,10,29,39,8,14,8,2,0,2,21,8,0,145,6.9,329,1724:12,21:33,0,0,,106,43,32,112,,hanifno01
203,Neal Pionk,29,WPG,D,69,10,29,39,21,44,6,4,0,2,20,8,1,123,8.1,302,1522:09,22:04,0,0,,101,114,30,72,,pionkne01
204,Jack Quinn,23,BUF,RW,74,15,24,39,-18,18,12,3,0,3,14,10,0,123,12.2,277,1099:53,14:52,1,6,14.3,23,39,12,52,,quinnja01
205,Jack Roslovic,28,CAR,C,81,22,17,39,-10,10,21,1,0,2,16,1,0,139,15.8,288,1119:31,13:49,192,163,54.1,23,14,19,63,,rosloja01
206,Bowen Byram,23,BUF,D,82,7,31,38,11,46,7,0,0,2,28,2,1,94,7.4,209,1861:10,22:42,0,0,,116,75,15,84,,byrambo01
207,Brendan Gallagher,32,MTL,RW,82,21,17,38,-6,39,16,5,0,1,15,2,0,148,14.2,303,1140:59,13:55,0,6,0.0,38,92,16,62,,gallabr01
208,Roman Josi,34,NSH,D,53,9,29,38,-26,18,7,2,0,1,14,15,0,150,6.0,368,1326:43,25:02,0,0,,95,42,23,75,,josiro01
209,Vladislav Namestnikov,32,WPG,C,78,11,27,38,20,38,9,2,0,1,17,9,1,94,11.7,168,1177:06,15:05,365,426,46.1,49,84,15,38,,namesvl01
210,Michael Bunting,29,2TM,LW,76,19,19,38,-19,68,8,11,0,1,13,6,0,155,12.3,313,1180:19,15:32,5,8,38.5,19,70,13,58,,buntimi01
210,Michael Bunting,29,PIT,LW,58,14,15,29,-18,48,5,9,0,1,9,6,0,110,12.7,231,884:20,15:15,5,6,45.5,13,59,10,38,,buntimi01
210,Michael Bunting,29,NSH,LW,18,5,4,9,-1,20,3,2,0,0,4,0,0,45,11.1,82,295:59,16:27,0,2,0.0,6,11,3,20,,buntimi01
211,Logan Stankoven,21,2TM,C,78,14,24,38,-1,18,12,2,0,5,18,6,0,194,7.2,343,1177:07,15:05,87,106,45.1,33,48,20,51,AR-6Calder-7,stanklo01
211,Logan Stankoven,21,DAL,C,59,9,20,29,2,6,8,1,0,4,15,5,0,148,6.1,258,890:57,15:06,85,98,46.4,24,42,15,41,,stanklo01
211,Logan Stankoven,21,CAR,C,19,5,4,9,-3,12,4,1,0,1,3,1,0,46,10.9,85,286:10,15:04,2,8,20.0,9,6,5,10,,stanklo01
212,André Burakovsky,29,SEA,LW,79,10,27,37,-3,12,10,0,0,1,19,8,0,115,8.7,219,1139:22,14:25,3,3,50.0,27,33,18,38,,burakan01
213,Noah Cates,25,PHI,LW,78,16,21,37,3,14,15,1,0,2,19,2,0,110,14.5,214,1238:26,15:53,493,612,44.6,54,87,21,32,,catesno01
214,Jonathan Drouin,29,COL,LW,43,11,26,37,4,6,8,3,0,2,17,9,0,56,19.6,113,781:51,18:11,9,13,40.9,12,14,15,35,Byng-49,drouijo01
215,Frédérick Gaudreau,31,MIN,C,82,18,19,37,-2,8,13,5,0,2,19,0,0,110,16.4,198,1284:15,15:40,529,568,48.2,61,47,24,50,Byng-18,gaudrfr01
216,Marco Kasper,20,DET,C,77,19,18,37,1,34,17,2,0,3,16,2,0,145,13.1,253,1189:43,15:27,281,345,44.9,48,156,9,47,AR-7Calder-10,kaspema01
217,Alex Killorn,35,ANA,C,82,19,18,37,12,30,18,0,1,5,14,3,1,134,14.2,288,1416:38,17:17,8,13,38.1,23,77,11,62,,killoal01
218,Nino Niederreiter,32,WPG,RW,82,17,20,37,16,24,13,4,0,3,13,7,0,150,11.3,271,1217:52,14:51,20,26,43.5,39,152,17,60,,niedeni01
219,Shane Pinto,24,OTT,C,70,21,16,37,10,26,17,1,3,5,13,1,2,127,16.5,268,1228:59,17:33,444,442,50.1,56,73,27,44,,pintosh01
220,Darren Raddysh,28,TBL,D,73,6,31,37,9,14,4,2,0,0,24,7,0,108,5.6,282,1262:53,17:18,0,0,,68,38,10,55,,raddyda01
221,Morgan Frost,25,2TM,C,81,14,23,37,-17,22,12,2,0,2,10,13,0,144,9.7,280,1276:11,15:45,529,504,51.2,60,69,35,66,,frostmo01
221,Morgan Frost,25,PHI,C,49,11,14,25,-11,16,10,1,0,2,8,6,0,86,12.8,156,744:15,15:11,306,285,51.8,39,35,19,37,,frostmo01
221,Morgan Frost,25,CGY,C,32,3,9,12,-6,6,2,1,0,0,2,7,0,58,5.2,124,531:56,16:37,223,219,50.5,21,34,16,29,,frostmo01
222,Andrei Kuzmenko,28,3TM,F,66,11,26,37,-6,14,7,4,0,4,17,9,0,83,13.3,183,1031:35,15:38,1,0,100.0,22,19,22,57,,kuzmean01
222,Andrei Kuzmenko,28,CGY,F,37,4,11,15,-7,12,1,3,0,3,8,3,0,39,10.3,87,548:19,14:49,1,0,100.0,9,8,14,27,,kuzmean01
222,Andrei Kuzmenko,28,PHI,F,7,2,3,5,-5,0,1,1,0,0,2,1,0,13,15.4,21,119:59,17:08,0,0,,2,3,1,9,,kuzmean01
222,Andrei Kuzmenko,28,LAK,F,22,5,12,17,6,2,5,0,0,1,7,5,0,31,16.1,75,363:17,16:31,0,0,,11,8,7,21,,kuzmean01
223,Zachary Bolduc,21,STL,C,72,19,17,36,20,37,12,7,0,0,12,5,0,120,15.8,245,922:03,12:48,5,9,35.7,36,108,17,59,AR-5Calder-8,bolduza01
224,Jake Evans,28,MTL,C,82,13,23,36,1,10,10,0,3,5,20,0,3,80,16.3,172,1275:24,15:33,593,529,52.9,60,124,15,62,,evansja02
225,Jordan Martinook,32,CAR,LW,79,15,21,36,16,18,15,0,0,3,20,0,1,112,13.4,251,1208:26,15:18,35,37,48.6,52,84,18,53,,martijo01
226,Dawson Mercer,23,NJD,C,82,19,17,36,4,16,12,6,1,3,15,2,0,141,13.5,280,1466:27,17:53,96,141,40.5,60,41,18,56,,merceda01
227,Colton Parayko,31,STL,D,64,16,20,36,12,8,14,1,1,4,19,0,1,125,12.8,251,1520:10,23:45,0,0,,149,92,27,86,Byng-9,parayco01
228,Jordan Staal,36,CAR,C,75,13,23,36,15,16,11,0,2,3,23,0,0,107,12.1,197,1157:48,15:26,724,605,54.5,43,138,9,41,Selke-11,staaljo01
229,James van Riemsdyk,35,CBJ,LW,71,16,20,36,-4,23,15,1,0,2,19,1,0,85,18.8,149,880:22,12:24,6,14,30.0,16,31,5,40,,vanrija01
230,Seth Jones,30,2TM,D,63,9,27,36,-24,22,4,5,0,2,13,14,0,129,7.0,305,1552:25,24:38,0,0,,109,96,26,82,,jonesse01
230,Seth Jones,30,CHI,D,42,7,20,27,-18,18,2,5,0,2,10,10,0,81,8.6,196,1029:12,24:30,0,0,,83,62,18,56,,jonesse01
230,Seth Jones,30,FLA,D,21,2,7,9,-6,4,2,0,0,0,3,4,0,48,4.2,109,523:13,24:55,0,0,,26,34,8,26,,jonesse01
231,Nick Foligno,37,CHI,LW,78,15,20,35,-17,48,11,2,2,1,18,2,0,104,14.4,163,1242:08,15:55,341,363,48.4,34,200,16,50,,foligni01
232,Eeli Tolvanen,25,SEA,RW,81,23,12,35,3,23,21,2,0,3,9,3,0,137,16.8,283,1159:55,14:19,5,6,45.5,65,237,13,45,,tolvaee01
233,Maxim Tsyplakov,26,NYI,F,77,10,25,35,4,39,9,1,0,1,23,2,0,116,8.6,262,1152:28,14:58,10,13,43.5,40,140,28,78,,tsyplma01
234,Alexander Wennberg,30,SJS,C,77,10,25,35,-21,14,7,3,0,2,18,7,0,82,12.2,182,1452:00,18:51,508,561,47.5,80,30,38,41,,wennbal01
235,Joshua Norris,25,2TM,C,56,21,14,35,-6,44,12,6,3,5,8,5,1,96,21.9,178,1027:24,18:21,413,354,53.8,47,135,13,33,,norrijo01
235,Joshua Norris,25,OTT,C,53,20,13,33,-5,34,11,6,3,5,7,5,1,94,21.3,173,971:37,18:20,386,331,53.8,45,133,13,31,,norrijo01
235,Joshua Norris,25,BUF,C,3,1,1,2,-1,10,1,0,0,0,1,0,0,2,50.0,5,55:47,18:36,27,23,54.0,2,2,0,2,,norrijo01
236,Charlie Coyle,32,2TM,C,83,17,18,35,-9,24,13,3,1,3,14,4,0,115,14.8,223,1410:07,16:59,374,395,48.6,61,108,42,54,,coylech01
236,Charlie Coyle,32,BOS,C,64,15,7,22,-14,18,11,3,1,2,7,0,0,92,16.3,187,1128:47,17:38,266,275,49.2,49,93,38,42,,coylech01
236,Charlie Coyle,32,COL,C,19,2,11,13,5,6,2,0,0,1,7,4,0,23,8.7,36,281:20,14:48,108,120,47.4,12,15,4,12,,coylech01
237,Jackson Blake,21,CAR,RW,80,17,17,34,10,30,12,5,0,6,15,2,0,142,12.0,247,1107:40,13:51,15,15,50.0,30,19,20,54,AR-8Calder-9,blakeja02
238,Ridly Greig,22,OTT,C,78,13,21,34,-11,60,8,3,2,2,13,6,2,119,10.9,235,1332:14,17:05,208,172,54.7,47,138,20,35,,greigri01
239,Marcus Johansson,34,MIN,C,72,11,23,34,-7,12,9,1,1,1,18,5,0,121,9.1,239,1179:36,16:23,5,15,25.0,25,49,12,41,,johanma03
240,Adam Lowry,31,WPG,LW,73,16,18,34,18,28,16,0,0,4,16,0,2,99,16.2,196,1126:16,15:26,615,573,51.8,60,140,20,44,Byng-49Selke-10,lowryad01
241,Bobby McMann,28,TOR,F,74,20,14,34,12,27,17,3,0,5,11,3,0,169,11.8,289,1072:45,14:30,4,17,19.0,23,136,16,33,,mcmanbo02
242,Ilya Mikheyev,30,CHI,F,80,20,14,34,4,16,17,0,3,3,14,0,0,138,14.5,221,1254:09,15:41,1,11,8.3,15,34,21,54,Selke-37,mikheil01
243,Valeri Nichushkin,29,COL,RW,43,21,13,34,11,8,16,5,0,0,10,3,0,118,17.8,212,848:49,19:44,3,3,50.0,21,55,7,42,ASnhl-7,nichuva01
244,Brandt Clarke,21,LAK,D,78,5,28,33,13,46,3,2,0,0,21,7,0,131,3.8,269,1269:46,16:17,0,0,,121,23,24,63,,clarkbr02
245,Max Domi,29,TOR,LW,74,8,25,33,5,76,8,0,0,1,18,7,0,93,8.6,187,1048:40,14:10,273,271,50.2,30,32,21,69,,domima01
246,Christian Dvorak,28,MTL,C,82,12,21,33,-5,16,11,1,0,0,20,1,0,104,11.5,221,1249:59,15:15,591,469,55.8,74,44,18,66,,dvorach01
247,Aaron Ekblad,28,FLA,D,56,3,30,33,11,53,3,0,0,2,17,11,2,106,2.8,291,1316:42,23:31,0,0,,64,90,23,57,,ekblaaa01
248,Mattias Ekholm,34,EDM,D,65,9,24,33,11,30,6,3,0,1,20,4,0,143,6.3,328,1442:45,22:12,0,0,,95,42,35,83,,ekholma01
249,Filip Hronek,27,VAN,D,61,5,28,33,0,40,5,0,0,0,21,7,0,83,6.0,240,1457:33,23:54,1,0,100.0,75,89,14,74,,hronefi01
250,Jesperi Kotkaniemi,24,CAR,C,78,12,21,33,9,50,12,0,0,1,20,1,0,115,10.4,219,1096:37,14:04,367,342,51.8,28,66,18,64,,kotkaje01
251,Patrik Laine,26,MTL,RW,52,20,13,33,-14,14,5,15,0,5,9,4,0,116,17.2,215,743:59,14:18,11,14,44.0,28,26,13,38,,lainepa01
252,Mason Lohrei,24,BOS,D,77,5,28,33,-43,16,4,1,0,0,13,15,0,92,5.4,258,1503:37,19:32,0,0,,103,25,36,104,,lohrema01
253,Darnell Nurse,29,EDM,D,76,5,28,33,11,72,4,0,1,1,26,2,0,188,2.7,393,1700:11,22:22,0,0,,136,161,16,69,,nurseda01
254,Alex Pietrangelo,35,VEG,D,71,4,29,33,11,16,4,0,0,1,25,2,2,123,3.3,291,1590:33,22:24,0,0,,139,41,25,106,,pietral01
255,Ivan Provorov,28,CBJ,D,82,7,26,33,11,31,5,1,1,0,22,2,2,100,7.0,269,1915:01,23:21,0,0,,127,28,29,120,,provoiv01
256,Cole Sillinger,21,CBJ,C,66,11,22,33,-11,35,8,2,1,2,20,1,1,129,8.5,231,1116:18,16:55,300,350,46.2,36,74,21,50,,sillico01
257,Brady Skjei,30,NSH,D,82,10,23,33,-24,42,8,2,0,1,15,8,0,156,6.4,324,1795:04,21:53,0,0,,93,52,32,101,,skjeibr01
258,Vladimir Tarasenko,33,DET,RW,80,11,22,33,-13,6,10,1,0,1,15,7,0,133,8.3,281,1182:28,14:47,0,2,0.0,35,63,16,61,Byng-24,tarasvl01
259,Mikael Backlund,35,CGY,C,76,15,17,32,4,32,13,1,1,3,12,5,0,175,8.6,348,1424:00,18:44,703,749,48.4,51,41,35,68,Selke-35,backlmi01
260,J.T. Compher,29,DET,LW,76,11,21,32,-7,24,6,5,0,3,17,4,0,98,11.2,167,1267:46,16:41,457,556,45.1,64,29,17,49,,comphj.01
261,Luke Evangelista,22,NSH,RW,68,10,22,32,-2,22,9,1,0,1,18,4,0,134,7.5,211,943:16,13:52,0,3,0.0,13,28,16,37,,evanglu01
262,Justin Faulk,32,STL,D,78,4,28,32,-9,30,3,1,0,1,17,11,0,124,3.2,296,1751:08,22:27,0,0,,108,82,28,100,,faulkju01
263,Mathieu Olivier,27,CBJ,F,82,18,14,32,-4,139,17,0,1,5,13,0,1,111,16.2,200,1185:39,14:28,14,22,38.9,80,306,22,49,,olivima01
264,Eric Robinson,29,CAR,LW,82,14,18,32,14,10,14,0,0,1,18,0,0,110,12.7,214,1005:25,12:16,7,26,21.2,16,123,9,42,,robiner01
265,Evan Rodrigues,31,FLA,C,82,15,17,32,-4,38,11,4,0,1,14,3,0,161,9.3,331,1247:58,15:13,127,155,45.0,23,128,21,62,Selke-37,rodriev01
266,Yegor Sharangovich,26,CGY,C,73,17,15,32,-9,8,11,5,1,2,12,3,0,128,13.3,289,1216:03,16:39,146,171,46.1,31,14,17,51,Byng-49,sharaye01
267,Jared Spurgeon,35,MIN,D,66,7,25,32,8,14,6,1,0,3,17,8,0,107,6.5,240,1349:46,20:27,0,0,,119,53,22,52,Byng-31,spurgja01
